Reksadana,Jenis,Resiko,Price,1M,YTD,1Y,3Y,AUM/VAL
Majoris Saham Alokasi Dinamik Indonesia,Reksa Dana Saham ,Tinggi,Rp983,-5.14%,-0.44%,3.64%,2.26%,37.13B
Majoris Sukuk Negara Indonesia,Reksa Dana Obligasi,Sedang,Rp1.415,0.70%,4.10%,4.57%,9.90%,273.31B
Mandiri Indeks FTSE Indonesia ESG Kelas A,Reksa Dana Saham ,Tinggi,Rp996,-5.48%,-5.64%,0.45%,N/A,89.47B
Mandiri Investa Atraktif-Syariah,Reksa Dana Saham ,Tinggi,Rp909,-4.93%,-3.18%,-2.28%,-4.41%,47.33B
Mandiri Investa Dana Syariah Kelas A,Reksa Dana Obligasi,Sedang,Rp4.367,0.49%,3.67%,4.48%,9.99%,124.73B
Mandiri Investa Dana Utama Kelas D,Reksa Dana Obligasi,Sedang,Rp2.445,0.29%,1.76%,2.72%,-0.65%,1.07B
Mandiri Investa Pasar Uang Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.725,0.39%,3.69%,4.32%,9.44%,8.24T
Mandiri Investa Syariah Berimbang,Reksa Dana Campuran,Sedang,Rp3.798,0.60%,4.13%,5.00%,8.35%,37.54B
Mandiri Pasar Uang Syariah Ekstra,Reksa Dana Pasar Uang,Rendah,Rp1.216,0.33%,3.59%,4.23%,9.48%,42.67B
Manulife Dana Kas II Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.784,0.47%,4.04%,4.73%,10.88%,2.64T
Manulife Dana Kas Syariah,Reksa Dana Pasar Uang,Rendah,Rp1.270,0.39%,3.74%,4.38%,9.67%,237.37B
Manulife Dana Saham Kelas A,Reksa Dana Saham ,Tinggi,Rp9.372,-5.23%,-6.08%,-3.06%,-19.99%,2.06T
Manulife Obligasi Negara Indonesia II Kelas A,Reksa Dana Obligasi,Sedang,Rp2.958,0.25%,2.11%,4.89%,10.15%,2.60T
Manulife Obligasi Unggulan Kelas A,Reksa Dana Obligasi,Sedang,Rp2.737,-0.67%,3.04%,4.65%,11.16%,2.52T
Manulife Saham Andalan,Reksa Dana Saham ,Tinggi,Rp1.857,-2.78%,-3.18%,0.32%,-25.45%,1.14T
Manulife Syariah Sektoral Amanah Kelas A,Reksa Dana Saham ,Tinggi,Rp3.316,-4.87%,-1.83%,0.09%,-7.80%,172.66B
Manulife USD Fixed Income Kelas A,Reksa Dana Obligasi,Sedang,Rp1,-0.81%,1.83%,4.50%,-3.21%,25.36M
Principal Cash Fund,Reksa Dana Pasar Uang,Rendah,Rp1.845,0.33%,3.87%,4.49%,10.75%,90.52B
Principal Index IDX30 Kelas O,Reksa Dana Saham ,Tinggi,Rp1.280,-6.00%,-6.03%,0.15%,-3.91%,64.77B
Principal Islamic Equity Growth Syariah,Reksa Dana Saham ,Tinggi,Rp1.179,-2.09%,-0.10%,1.80%,-2.61%,76.90B
Schroder 90 Plus Equity Fund,Reksa Dana Saham ,Tinggi,Rp2.050,-3.46%,-1.44%,2.09%,6.12%,0.58T
Schroder Dana Andalan II,Reksa Dana Obligasi,Sedang,Rp1.086,0.23%,1.33%,1.58%,-1.06%,471.81B
Schroder Dana Istimewa,Reksa Dana Saham ,Tinggi,Rp6.396,-5.71%,-4.45%,-2.02%,-8.76%,348.91B
Schroder Dana Likuid,Reksa Dana Pasar Uang,Rendah,Rp1.605,0.32%,3.51%,4.18%,8.56%,1.09T
Schroder Dana Likuid Syariah,Reksa Dana Pasar Uang,Rendah,Rp1.149,0.40%,3.59%,4.24%,8.83%,13.94B
Schroder Dana Mantap Plus II,Reksa Dana Obligasi,Sedang,Rp2.855,-0.67%,2.58%,4.53%,10.16%,1.81T
Schroder Dana Prestasi,Reksa Dana Saham ,Tinggi,Rp41.946,-5.56%,-2.48%,1.46%,8.86%,1.52T
Schroder Dana Prestasi Plus,Reksa Dana Saham ,Tinggi,Rp34.038,-4.70%,-2.22%,1.73%,11.09%,4.76T
Schroder Dynamic Balanced Fund,Reksa Dana Campuran,Sedang,Rp1.752,-4.36%,-0.21%,3.33%,12.11%,119.25B
Schroder Global Sharia Equity Fund USD,Reksa Dana Global,Sedang,Rp2,0.91%,15.79%,24.17%,9.03%,52.99M
Schroder Syariah Balanced Fund,Reksa Dana Campuran,Sedang,Rp2.631,-0.41%,0.92%,2.67%,6.64%,82.98B
Schroder USD Bond Fund,Reksa Dana Obligasi,Sedang,Rp2,-0.99%,1.70%,5.19%,-2.05%,57.70M
Simas Saham Unggulan,Reksa Dana Saham ,Tinggi,Rp1.313,-2.62%,-0.02%,3.12%,-7.54%,0.63T
Simas Satu,Reksa Dana Campuran,Sedang,Rp7.573,0.56%,-0.85%,1.13%,-0.97%,51.45B
Simas Syariah Unggulan,Reksa Dana Saham ,Tinggi,Rp633,0.14%,-0.05%,4.30%,2.84%,34.50B
Sucorinvest Bond Fund,Reksa Dana Obligasi,Sedang,Rp1.511,-0.35%,-1.70%,-0.51%,-3.22%,212.20B
Sucorinvest Citra Dana Berimbang,Reksa Dana Campuran,Sedang,Rp2.408,-1.44%,5.27%,7.04%,24.10%,156.28B
Sucorinvest Equity Fund,Reksa Dana Saham ,Tinggi,Rp2.548,-3.16%,-2.34%,0.62%,3.55%,3.28T
Sucorinvest Flexi Fund,Reksa Dana Campuran,Sedang,Rp6.052,2.11%,-1.44%,-3.92%,8.36%,162.62B
Sucorinvest IDX30,Reksa Dana Saham ,Tinggi,Rp1.008,-5.86%,-5.07%,0.16%,N/A,17.30B
Sucorinvest Maxi Fund,Reksa Dana Saham ,Tinggi,Rp1.856,-0.11%,11.65%,8.52%,10.48%,135.99B
Sucorinvest Money Market Fund,Reksa Dana Pasar Uang,Rendah,Rp1.817,0.51%,4.08%,4.95%,13.31%,3.95T
Sucorinvest Premium Fund,Reksa Dana Campuran,Sedang,Rp1.588,0.21%,4.87%,6.01%,31.97%,2.63T
Sucorinvest Sharia Balanced Fund,Reksa Dana Campuran,Sedang,Rp1.114,0.46%,5.30%,6.65%,-3.57%,1.18T
Sucorinvest Sharia Equity Fund,Reksa Dana Saham ,Tinggi,Rp1.597,-1.15%,-5.02%,-8.35%,-21.90%,430.10B
Sucorinvest Sharia Money Market Fund,Reksa Dana Pasar Uang,Rendah,Rp1.374,0.50%,4.23%,4.91%,13.08%,2.46T
Sucorinvest Sharia Sukuk Fund,Reksa Dana Obligasi,Sedang,Rp1.179,0.56%,4.85%,5.87%,17.67%,1.79T
Sucorinvest Stable Fund,Reksa Dana Obligasi,Sedang,Rp1.332,0.38%,3.55%,4.36%,14.85%,2.65T
TRAM Consumption Plus Kelas A,Reksa Dana Saham ,Tinggi,Rp1.886,-3.66%,0.95%,6.06%,6.57%,178.55B
TRAM Infrastructure Plus,Reksa Dana Saham ,Tinggi,Rp1.485,-3.29%,4.43%,8.60%,19.50%,19.30B
TRAM Strategic Plus Kelas A,Reksa Dana Obligasi,Sedang,Rp2.016,-0.13%,2.56%,4.77%,10.19%,84.33B
TRIM Dana Tetap 2 Kelas A,Reksa Dana Obligasi,Sedang,Rp3.202,0.51%,5.63%,6.25%,15.33%,0.92T
TRIM Kapital,Reksa Dana Saham ,Tinggi,Rp11.076,-3.10%,-8.00%,-4.55%,6.40%,340.78B
TRIM Kapital Plus,Reksa Dana Saham ,Tinggi,Rp4.453,-1.71%,0.98%,6.08%,18.19%,310.74B
TRIM Kas 2 Kelas A,Reksa Dana Pasar Uang,Rendah,Rp1.882,0.45%,4.36%,5.07%,13.39%,3.28T
TRIM Syariah Saham,Reksa Dana Saham ,Tinggi,Rp1.868,-0.50%,2.30%,4.75%,1.88%,115.61B
