Reksadana,Jenis,Resiko,Price,1M,1Y,3Y,AUM/VAL
BNI-AM SRI KEHATI Kelas R1,Reksa Dana Saham,Tinggi,Rp927,-5.76,-1.94,0,92.99B
BNP Paribas SRI KEHATI,Reksa Dana Saham,Tinggi,Rp1.090,-3.37,-2.57,13.63,3.36T
Mandiri Indeks FTSE Indonesia ESG Kelas A,Reksa Dana Saham,Tinggi,Rp996,-5.48,4.5,0,89.47B
Sucorinvest IDX30,Reksa Dana Saham,Tinggi,Rp1.008,-5.86,1.6,0,17.30B
Sucorinvest Sharia Equity Fund,Reksa Dana Saham,Tinggi,Rp1.597,-1.15,-8.35,-21.90,430.10B
Schroder Dana Istimewa,Reksa Dana Saham,Tinggi,Rp6.396,-5.71,-2.02,-8.76,348.91B
BNI-AM Dana Saham Inspiring Equity Fund,Reksa Dana Saham,Tinggi,Rp955,-5.87,-2.2,-3.50,1.26T
Avrist IDX30,Reksa Dana Saham,Tinggi,Rp912,-3.28,01.07,0.27,141.99B
Batavia Dana Saham Syariah,Reksa Dana Saham,Tinggi,Rp1.637,-3.46,-1.06,-4.52,315.63B
BRI Indeks Syariah,Reksa Dana Saham,Tinggi,Rp2.285,-2.24,1.23,-3.27,32.75B
BNP Paribas Ekuitas,Reksa Dana Saham,Tinggi,Rp18.806,-5.56,6.5,6.49,0.76T
Mandiri Investa Atraktif-Syariah,Reksa Dana Saham,Tinggi,Rp909,-4.93,-2.28,-4.41,47.33B
Manulife Saham Andalan,Reksa Dana Saham,Tinggi,Rp1.857,-2.78,0.32,-25.45,1.14T
Avrist Ada Saham Blue Safir Kelas A,Reksa Dana Saham,Tinggi,Rp1.043,-5.77,-1.30,03.04,109.10B
BNP Paribas Solaris,Reksa Dana Saham,Tinggi,Rp1.794,-5.71,1.57,-16.82,173.17B
Bahana Primavera 99 Kelas G,Reksa Dana Saham,Tinggi,Rp1.281,-6.22,2.95,7.27,20.55B
Batavia Dana Saham,Reksa Dana Saham,Tinggi,Rp62.344,-5.09,1.37,5.19,2.03T
BNP Paribas Pesona,Reksa Dana Saham,Tinggi,Rp26.196,-5.31,1.41,1.56,396.12B
Schroder Dana Prestasi,Reksa Dana Saham,Tinggi,Rp41.946,-5.56,1.46,8.86,1.52T
BNP Paribas Infrastruktur Plus,Reksa Dana Saham,Tinggi,Rp2.902,-5.77,1.62,1.31,0.52T
Sucorinvest Equity Fund,Reksa Dana Saham,Tinggi,Rp2.548,-3.16,0.62,3.55,3.28T
Schroder Dana Prestasi Plus,Reksa Dana Saham,Tinggi,Rp34.038,-4.70,1.73,11.09,4.76T
BNI-AM PEFINDO I-Grade Kelas R1,Reksa Dana Saham,Tinggi,Rp899,9.26,-10.09,0,1.04B
Manulife Syariah Sektoral Amanah Kelas A,Reksa Dana Saham,Tinggi,Rp3.316,-4.87,0.09,-7.80,172.66B
Sucorinvest Bond Fund,Reksa Dana Obligasi,Sedang,Rp1.511,-3.5,-0.51,-3.22,212.20B
BRI Mawar Konsumer 10 Kelas A,Reksa Dana Saham,Tinggi,Rp1.577,-4.13,1.93,-0.45,234.88B
Schroder 90 Plus Equity Fund,Reksa Dana Saham,Tinggi,Rp2.050,-3.46,02.09,6.12,0.58T
Sucorinvest Flexi Fund,Reksa Dana Campuran,Sedang,Rp6.052,2.11,-3.92,8.36,162.62B
Jarvis Balanced Fund,Reksa Dana Campuran,Sedang,Rp1.771,-8.3,2.24,-9.09,166.37B
Simas Satu,Reksa Dana Campuran,Sedang,Rp7.573,5.6,1.13,-0.97,51.45B
Eastspring Investments Value Discovery Kelas A,Reksa Dana Saham,Tinggi,Rp1.323,-3.66,3.39,-0.55,398.49B
Majoris Saham Alokasi Dinamik Indonesia,Reksa Dana Saham,Tinggi,Rp983,-5.14,3.64,2.26,37.13B
Grow Obligasi Optima Dinamis Kelas O,Reksa Dana Obligasi,Sedang,Rp997,3.0,-0.33,0,42.32B
Schroder Dynamic Balanced Fund,Reksa Dana Campuran,Sedang,Rp1.752,-4.36,3.33,12.11,119.25B
Principal Islamic Equity Growth Syariah,Reksa Dana Saham,Tinggi,Rp1.179,-2.09,1.80,-2.61,76.90B
Simas Syariah Unggulan,Reksa Dana Saham,Tinggi,Rp633,1.4,4.30,2.84,34.50B
Simas Saham Unggulan,Reksa Dana Saham,Tinggi,Rp1.313,-2.62,3.12,-7.54,0.63T
Sona Topas Tourism,Saham,Tiggi,Rp10.300,207.93,287.17,83.64,0
Jaya Agra Wattie,Saham,Tiggi,Rp128,-22.93,271.76,103.87,"2,08M"
Pudjiadi & Sons,Saham,Tiggi,Rp1.360,199.56,246.94,109.23,"604,5K"
Kawasan Jababeka,Saham,Tiggi,Rp193,233.33,191.46,151.08,"176,19M"
Suryamas Dutamakmur,Saham,Tiggi,Rp520,5.26,176.60,169.43,"207,7K"
Bumi Resources Min,Saham,Tiggi,Rp444,26.16,149.43,321.24,"615,18M"
Mnc Sky Vision,Saham,Tiggi,Rp74,-5.42,137.88,57,"5,05M"
Metro Realty,Saham,Tiggi,Rp635,188.64,40.49,104.84,"269,2K"
Bank Of India Indonesia,Saham,Tiggi,Rp3.000,0.00,71.43,71.43,0
Bank Artha Graha,Saham,Tiggi,Rp206,78.72,147.06,15.07,"597,18M"
Lippo Cikarang,Saham,Tiggi,Rp735,-23.53,-13.33,-74,"112,4K"
Dharma Satya,Saham,Tiggi,Rp1.235,7.62,118.18,105.13,"14,05M"
Darma Henwa,Saham,Tiggi,Rp124,27.08,71.83,144,"519,91M"
Multifiling Mitra,Saham,Tiggi,Rp1.250,30.89,76.06,23.76,300
Citatah,Saham,Tiggi,Rp24,0.00,-52.00,-52,"50,7K"
Fks Multi Agro,Saham,Tiggi,Rp10.950,1.39,100.92,26.59,"12,6K"
Indosat,Saham,Tiggi,Rp2.450,2.8,101.77,178.29,"20,78M"
Perusahaan Perkebunan,Saham,Tiggi,Rp1.100,-5.56,91.94,83.08,"16,05M"
Cardig Aero,Saham,Tiggi,Rp1.715,8.25,143.57,224.76,"33,8K"
Multipolar Technology,Saham,Tiggi,Rp28.200,-12.74,87.67,-62.36,"271,3K"
Delta Dunia Makmur,Saham,Tiggi,Rp665,-13.10,62.37,112.84,"5,02M"
Golden Energy Mines,Saham,Tiggi,Rp10.400,-11.69,77.39,144.6,"99,5K"
Bumi Resources,Saham,Tiggi,Rp151,6.52,33.64,113.04,"1,12B"
Fortune Mate,Saham,Tiggi,Rp545,121.54,75.81,29.15,0
Mustika Ratu,Saham,Tiggi,Rp324,0.00,78.67,24,"40,4K"
Kertas Basuki Rachmat,Saham,Tiggi,Rp50,4.35,60.00,-52,0
Adaro Energy,Saham,Tiggi,Rp3.750,-1.34,41.38,124.32,"80,25M"
Bank Pan Indonesia,Saham,Tiggi,Rp1.880,-6.36,70.37,134.39,"4,34M"
Mandom Indonesia,Saham,Tiggi,Rp2.290,-6.67,50.98,8.45,400
Jasa Marga,Saham,Tiggi,Rp4.580,5.92,43.46,0,"1,24M"
Kalbe Farma,Saham,Tiggi,Rp1.480,-2.04,44.36,11.63,"29,23M"
Meratus Jasa Prima Tbk PT,Saham,Tiggi,Rp6.050,-8.54,-27.49,-24.48,"2,96M"
Duta Anggada,Saham,Tiggi,Rp183,1.71,34.85,-33.08,"220,9K"
First Media,Saham,Tiggi,Rp100,44.93,33.33,-86.93,19K
Pembangunan Graha,Saham,Tiggi,Rp199,1.61,12.50,-13.3,"49,9K"
Sekar Bumi,Saham,Tiggi,Rp398,-9.59,35.62,-12,53K
Mitra Adiperkasa,Saham,Tiggi,Rp1.625,0.00,11.11,-80,"20,74M"
Ancora Indonesia,Saham,Tiggi,Rp118,-7.20,12.62,41.46,"1,1M"
Mayora Indah,Saham,Tiggi,Rp2.670,9.46,39.66,-84.72,"5,77M"
Chandra Asri Petro,Saham,Tiggi,Rp6.650,-27.04,124.05,260.98,"5,54M"
Rig Tenders,Saham,Tiggi,Rp600,-0.84,11.32,72.51,"152,3K"
Destinasi Tirta,Saham,Tiggi,Rp270,3.05,-6.25,-24.16,"150,8K"
Krakatau Steel Persero,Saham,Tiggi,Rp130,-3.06,21.79,-39.49,"23,82M"
Indomobil Multi Jasa,Saham,Tiggi,Rp165,5.41,21.40,19.08,"1,64M"
Mnc Land,Saham,Tiggi,Rp161,-15.49,17.65,-38.14,"74,12M"
Mahaka Media,Saham,Tiggi,Rp29,-9.40,14.59,-22.91,"144,7K"
Eagle High,Saham,Tiggi,Rp66,6.67,14.29,-28.09,"11,46M"
Bank Permata,Saham,Tiggi,Rp1.090,1.40,17.84,-37.71,"77,5K"
Kabelindo Murni,Saham,Tiggi,Rp310,-1.27,13.97,33.62,"13,7K"
Energi Mega Persada,Saham,Tiggi,Rp264,8.33,20.37,126.09,"66,3M"
Metropolitan Land,Saham,Tiggi,Rp414,0.00,18.87,-11.02,"5,6K"
Multi Artha Guna,Saham,Tiggi,Rp342,-2.86,9.68,0,"26,6K"
Elnusa,Saham,Tiggi,Rp456,-6.58,10.73,54.42,"13,64M"
Aspirasi Hidup Indonesia Tbk PT,Saham,Tiggi,Rp830,-10.75,1.22,-38.75,"28,6M"
Bakrie Sumatera,Saham,Tiggi,Rp130,36.84,15.04,19.27,"810,3K"
Bank Ocbc Nisp,Saham,Tiggi,Rp1.355,-7.3,20.98,94.96,"2,97M"
Mandala Multifinance,Saham,Tiggi,Rp3.350,39.28,17.96,214.55,0
Mitra Investindo,Saham,Tiggi,Rp157,-11.11,-11.11,-84,"73,3K"
Kobexindo Tractors,Saham,Tiggi,Rp197,-3.02,19.88,32.19,"1,05M"
Champion Pacific,Saham,Tiggi,Rp505,-4.0,14.22,19.14,"270,3K"
Lenox Pasifik Investama Tbk PT,Saham,Tiggi,Rp72,-16.03,26.44,-23.08,"7,41M"
Gajah Tunggal,Saham,Tiggi,Rp1.170,-4.53,32.57,63.38,"3,99M"
Arwana Citramulia,Saham,Tiggi,Rp755,-3.25,4.93,-12.35,"2,17M"
Dyandra Media,Saham,Tiggi,Rp97,-16.67,7.95,13.1,"4,47M"
Indofood,Saham,Tiggi,Rp7.800,-5.60,12.38,30.75,"5,83M"
Intanwijaya,Saham,Tiggi,Rp585,-12.12,16.00,-36.26,"4,4K"
Atlas Resources,Saham,Tiggi,Rp242,-6.98,-0.83,-17.24,"42,3K"
Multipolar,Saham,Tiggi,Rp144,3.65,9.94,-65.39,"140,52M"
Baramulti Suksessarana,Saham,Tiggi,Rp4.270,-7.64,11.61,36.01,306K
Metrodata Electronics,Saham,Tiggi,Rp640,7.9,2.40,-29.28,"886,3K"
Bank Maspion Indonesia,Saham,Tiggi,Rp635,-23.64,-4.55,-33.78,137K
Indo Kordsa,Saham,Tiggi,Rp6.600,10.17,11.11,-18.5,"39,9K"
Supreme Cable,Saham,Tiggi,Rp2.230,0.00,6.67,-78.6,20K
Logindo Samudramakmur,Saham,Tiggi,Rp122,2.94,-2.78,-41.18,"4,72M"
Colorpak Indonesia,Saham,Tiggi,Rp1.070,-9.3,5.47,2.42,"44,8K"
Bank Central Asia,Saham,Tiggi,Rp10.150,-5.62,14.81,35.69,"58,58M"
Intermedia Capital,Saham,Tiggi,Rp10,-3.36,3.60,-10.85,0
Medco Energi,Saham,Tiggi,Rp1.150,-3.8,3.92,11.81,"32,23M"
Abm Investama,Saham,Tiggi,Rp3.700,-12.96,4.71,151.59,"536,4K"
Asuransi Dayin Mitra,Saham,Tiggi,Rp498,-2.00,-2.97,-48.42,"6,5K"
Indocement Tunggal,Saham,Tiggi,Rp7.050,3.19,4.30,32.34,"201,3K"
Surya Toto Indonesia,Saham,Tiggi,Rp238,6.31,-1.67,11.32,"1,36M"
Harta Aman Pratama,Saham,Tiggi,Rp101,-6.80,-4.95,74.28,"10,1M"
Minna Padi Investama,Saham,Tiggi,Rp10,11.64,-4.68,9.4,"967,3K"
Bank Mandiri Persero,Saham,Tiggi,Rp6.350,-13.54,5.96,71.72,"68,71M"
Midi Utama Indonesia,Saham,Tiggi,Rp424,-7.59,7.81,0,"3,89M"
Erajaya Swasembada,Saham,Tiggi,Rp444,-3.96,24.57,-32.92,"4,09M"
Bank Tabungan Negara,Saham,Tiggi,Rp1.295,-14.77,0.79,-26.62,"10,59M"
Bank Windu,Saham,Tiggi,Rp80,1.28,0.00,-39.23,"3,37M"
Tigaraksa Satria,Saham,Tiggi,Rp6.500,-3.70,-2.62,-7.14,2K
Akasha Wira,Saham,Tiggi,Rp9.950,-13.59,08.08,239.16,"128,8K"
Buana Finance,Saham,Tiggi,Rp725,-3.65,-15.92,62.56,"33,2K"
Jakarta Kyoei,Saham,Tiggi,Rp60,0.00,0.00,0,0
Limas Indonesia Makmur,Saham,Tiggi,Rp50,0.00,0.00,-46.81,0
Onix Capital,Saham,Tiggi,Rp159,0.00,0.00,0,0
Panasia Indo Resources,Saham,Tiggi,Rp120,0.00,0.00,0,0
Smr Utama,Saham,Tiggi,Rp50,0.00,0.00,0,0
Trikomsel Oke,Saham,Tiggi,Rp426,0.00,0.00,0,0
Bakrie Telecom,Saham,Tiggi,Rp50,0.00,0.00,0,0
Bank Ina Perdana,Saham,Tiggi,Rp4.100,-1.21,-1.92,12.05,53K
Bukit Uluwatu Villa,Saham,Tiggi,Rp66,8.93,22.00,1.67,"1,07M"
Capitol Nusantara,Saham,Tiggi,Rp50,6.38,-3.85,-75.25,"20,6K"
Cowell Development,Saham,Tiggi,Rp50,0.00,0.00,0,0
Eureka Prima Jakarta,Saham,Tiggi,Rp117,0.00,0.00,0,0
Fortune Indonesia,Saham,Tiggi,Rp4.790,35.82,0.00,0,"239,8K"
Aksara Global Development Tbk PT,Saham,Tiggi,Rp18,0.00,0.00,-64,0
Grand Kartech,Saham,Tiggi,Rp436,0.00,0.00,0,0
Hanson,Saham,Tiggi,Rp50,0.00,0.00,0,0
Harum Energy,Saham,Tiggi,Rp1.185,0.00,0.00,0,"5,44M"
